label,logFC,P.Value,adj.P.Val,AveExpr,t,B,absLogFC,log10Pvalue,log10Padj
PACRG,0.247512534,0.119960552,0.642685524,5.664958343,1.554946306,-4.817479973,0.247512534,0.920961544,0.192001482
PACRGL,-0.21701955,0.266087628,0.772137371,6.04700231,-1.112120843,-5.200096713,0.21701955,0.574975318,0.112305428
PACS1,0.159453706,0.401666792,0.843811852,6.222100115,0.838650044,-5.462720882,0.159453706,0.396134072,0.073754379
PACS2,0.320450902,0.084716609,0.583658708,5.919934277,1.723960608,-4.449062051,0.320450902,1.072031434,0.23384103
PACSIN1,-0.173564623,0.350073592,0.82741119,5.866464862,-0.9344489,-5.405248958,0.173564623,0.45584065,0.08227861
PACSIN2,-0.331829566,0.080297683,0.578452351,6.135762795,-1.748970954,-4.396086752,0.331829566,1.095296987,0.23773241
PACSIN3,-0.06066993,0.758538516,0.958443684,6.01769075,-0.307400992,-5.705339879,0.06066993,0.120022362,0.0184334
PADI1,0.099667545,0.547279832,0.8966992,5.729208085,0.60184232,-5.740344103,0.099667545,0.261790556,0.047353218
PADI2,-0.225010443,0.201893176,0.723615207,6.373791917,-1.276180871,-5.102294183,0.225010443,0.69487836,0.140492315
PADI3,0.134601294,0.417232014,0.843811852,5.731020455,0.811234564,-5.60141009,0.134601294,0.379622376,0.073754379
PADI4,-0.036971575,0.849261303,0.972253511,5.941820803,-0.190061299,-5.744635502,0.036971575,0.070958664,0.01222048
PADI6,-0.04371251,0.80815454,0.963639105,5.806757668,-0.242807825,-5.804373246,0.04371251,0.092505583,0.016085584
PAEP,0.06865588,0.661131906,0.930236598,5.679513885,0.438351638,-5.870467036,0.06865588,0.179711884,0.031406578
PAF1,0.031794633,0.871037774,0.976328838,6.146767773,0.162340659,-5.742927816,0.031794633,0.059963011,0.010403883
PAFAH1B1,0.13897465,0.47860165,0.869463107,6.026674408,0.708554845,-5.527214553,0.13897465,0.320025808,0.060748841
PAFAH1B2,-0.043336734,0.7740959,0.960169564,6.580144171,-0.287021861,-5.955929833,0.043336734,0.111205233,0.017652065
PAFAH1B3,-0.164328734,0.346473566,0.826975948,6.391372783,-0.941453812,-5.451908944,0.164328734,0.460329894,0.082507122
PAFAH2,0.324554981,0.077695019,0.577211567,5.91416753,1.764229279,-4.391952297,0.324554981,1.10960682,0.238664975
PAG1,0.306145337,0.083547924,0.581426938,5.824509896,1.730470361,-4.472455137,0.306145337,1.078064336,0.235504851
PAGE1,0.035697458,0.808655854,0.963639105,5.633419311,0.242160774,-5.989536709,0.035697458,0.092236265,0.016085584
PAGE2,0.082226238,0.575699973,0.905549972,5.629576833,0.55967769,-5.872756935,0.082226238,0.239803791,0.043087578
PAGE2B,0.0250235,0.868924985,0.976106778,5.662445379,0.165024363,-5.977813852,0.0250235,0.061017715,0.010502672
PAGE3,0.312653679,0.055413656,0.52060405,5.689220181,1.915630608,-4.216223989,0.312653679,1.256383196,0.283492458
PAGE4,0.281933063,0.078114478,0.578028565,5.669152774,1.761742334,-4.493645811,0.281933063,1.107268468,0.238050699
PAGE5,0.19503995,0.228763271,0.748417826,5.708599052,1.203554679,-5.254538563,0.19503995,0.640613702,0.125855877
PAGR1,0.111086859,0.507382531,0.883527471,6.450066761,0.662920123,-5.693916038,0.111086859,0.294664489,0.053779943
PAH,0.171282975,0.327239437,0.819494019,5.788394442,0.979692017,-5.416717153,0.171282975,0.485134363,0.086454212
PAICS,-0.019405752,0.909267348,0.983785425,6.428388166,-0.113962872,-5.876567193,0.019405752,0.041308404,0.007099616
PAIP1,-0.095789563,0.580125386,0.907302113,6.404148452,-0.553202546,-5.726130883,0.095789563,0.23647813,0.042248078
PAIP2,-0.241922168,0.197273223,0.719852609,6.244550497,-1.289363839,-5.038041359,0.241922168,0.704931859,0.142756417
PAIP2B,0.225524831,0.231602045,0.750977633,6.232739256,1.196246123,-5.139467789,0.225524831,0.635257609,0.124372998
PAK1,-0.09152508,0.635746148,0.921862585,5.927925414,-0.473655496,-5.665559555,0.09152508,0.196716263,0.035333811
PAK1IP1,-0.008430751,0.955439464,0.992112919,5.657988076,-0.055877488,-5.993821278,0.008430751,0.019796824,0.003438895
PAK2,0.16129404,0.408448516,0.843811852,6.108532892,0.826628851,-5.449885308,0.16129404,0.388862678,0.073754379
PAK3,0.086169211,0.593437353,0.914483257,5.70673386,0.53386243,-5.799530735,0.086169211,0.226625121,0.038824242
PAK4,0.006885519,0.97116699,0.993325784,6.235989247,0.036144736,-5.779270652,0.006885519,0.012706088,0.002908291
PAK5,0.200045624,0.24228713,0.75674444,5.767582102,1.169292913,-5.247127771,0.200045624,0.615669655,0.121050761
PAK6,-0.046130081,0.810144116,0.963639105,5.90722552,-0.240240456,-5.746554951,0.046130081,0.091437718,0.016085584
PALB2,0.179122387,0.305543124,0.802423269,5.794881844,1.02462154,-5.37536519,0.179122387,0.514927485,0.095596486
PALD1,0.211553991,0.166633365,0.702848094,5.634228255,1.383108134,-5.085623408,0.211553991,0.778238035,0.153138528
PALLD,-0.528056383,0.000542045,0.079643413,6.595679129,-3.459129459,-0.373284178,0.528056383,3.265964526,1.098850138
PALM,0.012215901,0.950262003,0.992112919,5.969185964,0.062377847,-5.753120256,0.012215901,0.022156636,0.003438895
PALM2AKAP2,-0.036721989,0.852426858,0.972253511,6.09812369,-0.186023087,-5.732111248,0.036721989,0.069342875,0.01222048
PALM3,-0.007009901,0.966254958,0.993219603,5.728196712,-0.042305811,-5.907006581,0.007009901,0.014908264,0.002954717
PALMD,-0.137674068,0.433335183,0.846286463,5.782899294,-0.783498917,-5.571443125,0.137674068,0.363176049,0.072482606
PAM,-0.046735998,0.812854511,0.963639105,6.014686949,-0.236745479,-5.722437196,0.046735998,0.08998718,0.016085584
PAM16,-0.114616921,0.551203596,0.898405581,6.206183277,-0.595958616,-5.610542423,0.114616921,0.258687958,0.046527559
PAMR1,0.092849802,0.559093273,0.901042804,5.694627573,0.584189883,-5.787372768,0.092849802,0.252515733,0.045254577
PAN2,0.086362619,0.608649652,0.915288486,5.746761815,0.512002805,-5.770059275,0.086362619,0.215632622,0.038442001
PAN3,-0.20616546,0.259337795,0.767493583,6.307810462,-1.127961104,-5.236546276,0.20616546,0.586134185,0.114925247
PANK1,-0.087237511,0.5817972,0.907864175,5.693369585,-0.550762431,-5.808203504,0.087237511,0.235228373,0.041979121
PANK2,-0.313731557,0.095982378,0.596080599,6.211253104,-1.664659536,-4.531140882,0.313731557,1.017808496,0.224695013
PANK3,0.076626501,0.672071286,0.933020696,6.336554266,0.42330767,-5.744389919,0.076626501,0.172584659,0.030108723
PANK4,0.244050214,0.164839914,0.702848094,5.800222959,1.388981888,-4.966877271,0.244050214,0.782937621,0.153138528
PANO1,-0.181927586,0.274355423,0.775679116,5.733405606,-1.093090622,-5.349907621,0.181927586,0.561686451,0.110317901
PANX1,-0.018661326,0.916994458,0.984997976,5.799514113,-0.104220525,-5.831351487,0.018661326,0.037633289,0.006564662
PANX2,0.123382667,0.49192074,0.874672411,5.813714308,0.687258435,-5.617576072,0.123382667,0.308104867,0.058154572
PANX3,0.129282344,0.433718989,0.846286463,5.727734667,0.782845241,-5.626558659,0.129282344,0.362791563,0.072482606
PAOX,-0.101923633,0.605347747,0.915288486,6.069867898,-0.516726441,-5.628197379,0.101923633,0.217995069,0.038442001
PAPLN,0.160438915,0.39003526,0.840217825,5.882959112,0.859555423,-5.462258802,0.160438915,0.40889613,0.075608109
PAPOLA,-0.111451856,0.472114904,0.867029504,6.549802559,-0.719043684,-5.728038862,0.111451856,0.325952289,0.061966124
PAPOLB,0.254937532,0.113396968,0.63296927,5.691360499,1.583114913,-4.767278267,0.254937532,0.945398556,0.198617374
PAPOLG,-0.021604568,0.902720762,0.982432319,5.785945439,-0.12222525,-5.841308226,0.021604568,0.044446569,0.007697359
PAPPA,-0.038760295,0.800848471,0.963639105,5.672549298,-0.252249534,-5.948349578,0.038760295,0.096449649,0.016085584
PAPPA2,0.178528058,0.245414953,0.75674444,5.651477576,1.161561894,-5.345776319,0.178528058,0.61009898,0.121050761
PAPSS1,-0.251699425,0.189117562,0.71241402,6.159151184,-1.313198858,-4.993612864,0.251699425,0.723268139,0.147267543
PAPSS2,-0.278474637,0.128840441,0.660541561,5.874710494,-1.518697136,-4.761986977,0.278474637,0.889947799,0.180099851
PAQR3,0.225385673,0.192995393,0.716641665,5.780309481,1.301773611,-5.086456312,0.225385673,0.714453058,0.144697946
PAQR4,0.495051752,0.00447716,0.22599979,6.350643176,2.842460692,-2.142727412,0.495051752,2.348997359,0.645891964
